% degree N
3
% number of nodes
20
% node coordinates
3.888888888888896E-01 -7.272316635416376E-01 -1.061016697916956E-01 5.555555555555568E-02 -1.061016697916957E-01 1.499999999999999E+00 -1.061016697916966E-01 -7.272316635416363E-01 -7.272316635416369E-01 6.666666666666656E-01 -7.272316635416374E-01 -1.500000000000001E+00 -2.355930335078340E-17 1.500000000000000E+00 1.500000000000001E+00 -7.272316635416375E-01 -1.061016697916959E-01 6.764094536859550E-18 -1.061016697916957E-01 5.555555555555549E-02 
-6.000000000000010E-01 1.309016994374947E+00 -1.618033988749894E+00 -7.771317467694395E-17 3.239587126342746E-17 -5.580782009615092E-16 1.618033988749895E+00 9.227186915773522E-16 -1.309016994374948E+00 5.999999999999996E-01 6.180339887498948E-01 -2.700000000000002E+00 3.592757177872430E-16 3.951301420030403E-16 2.700000000000001E+00 -6.180339887498947E-01 1.909830056250523E-01 4.629060747138640E-16 -1.909830056250526E-01 -1.480297366166890E-17 
3.333333333333335E-01 -3.476151884335361E-16 3.143201527251721E-16 -1.263801692558657E-16 -6.211299937499412E-01 -4.639093196640618E-16 6.040263914222513E-17 6.211299937499415E-01 7.230160173425620E-17 -3.333333333333335E-01 -7.272316635416369E-01 -5.936275438477691E-16 1.864941721327382E-16 -1.326933552827223E-16 -1.577363266045095E-16 7.272316635416376E-01 -1.061016697916960E-01 1.482117191729988E-16 1.061016697916958E-01 9.676432152110852E-18 
-6.666666666666660E-01 7.272316635416372E-01 1.061016697916956E-01 -5.555555555555525E-02 7.272316635416365E-01 -1.499999999999999E+00 1.061016697916959E-01 1.061016697916957E-01 7.272316635416373E-01 -3.888888888888886E-01 7.272316635416372E-01 -1.500000000000000E+00 -1.984853015742481E-16 -1.499999999999999E+00 1.500000000000000E+00 7.272316635416373E-01 1.061016697916959E-01 -2.528217799247274E-17 1.061016697916957E-01 -5.555555555555547E-02 
-6.000000000000005E-01 1.125791887078348E-15 -5.402740824804722E-16 1.684650373469484E-16 1.309016994374947E+00 -1.609823385706476E-16 -7.473770287008464E-17 -1.618033988749894E+00 2.975996637104995E-16 7.090169943749467E-01 6.180339887498948E-01 6.938893903907228E-16 7.130315873418215E-17 -2.700000000000000E+00 -8.761985916711845E-16 2.000000000000000E+00 1.909830056250527E-01 -2.775557561562891E-16 1.909830056250525E-01 -9.999999999999991E-02 
4.090169943749472E-01 -6.264621819470682E-16 5.151479688203399E-16 -3.096250347222975E-16 -1.909830056250526E-01 8.881784197001252E-16 -1.400708603222425E-16 -6.180339887498949E-01 1.629702031734119E-16 5.999999999999993E-01 -1.309016994374947E+00 -7.410738689372920E-16 -2.092086242950535E-16 2.700000000000000E+00 -3.432915398511095E-16 -1.309016994374946E+00 -1.999999999999999E+00 8.326672684688674E-17 1.618033988749894E+00 9.999999999999939E-02 
-6.000000000000006E-01 6.180339887498950E-01 1.909830056250520E-01 6.809445358061021E-16 2.775557561562899E-17 5.967707637373944E-16 -1.909830056250525E-01 -1.875043330478043E-16 -6.180339887498948E-01 5.999999999999995E-01 1.309016994374947E+00 -2.700000000000000E+00 -1.041607468194051E-15 1.470993731625588E-15 2.700000000000001E+00 -1.309016994374947E+00 -1.618033988749895E+00 2.220446049250313E-16 1.618033988749894E+00 -3.108624468950438E-16 
-6.000000000000004E-01 1.310454783315499E-15 -6.599956138994777E-16 2.806455408546726E-16 6.180339887498946E-01 4.440892098500626E-16 -1.808933427170335E-16 1.909830056250520E-01 -1.084177933161624E-16 -4.090169943749474E-01 1.309016994374947E+00 7.882583474838611E-16 -4.491208483952534E-16 -2.699999999999999E+00 -3.882278814884414E-16 1.309016994374948E+00 -1.618033988749895E+00 1.110223024625157E-16 2.000000000000000E+00 -1.000000000000004E-01 
-5.000000000000002E-01 7.069211510434766E-16 -4.630182628320242E-16 1.290842316738758E-16 -1.367302293501273E-16 4.953429728819271E-16 -1.083704931696908E-16 -2.545131039103776E-16 3.925593574591133E-16 4.999999999999997E-01 1.545084971874737E+00 3.941291737419306E-16 -6.518992406381360E-16 1.101879563946046E-15 1.251437383341663E-16 -1.545084971874737E+00 -4.045084971874736E+00 5.551115123125783E-17 4.045084971874736E+00 -1.281767662254332E-15 
% t collocation differentation matrix
