 9 10    10973  7999317 4.041271e-04 1.979407e+10 3.199200e-06 5.339239e+02 5.020334e+02 1.793141e+03 2.648983e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
10 11     8000  8000000 3.652491e-04 2.190286e+10 3.532160e-06 5.836674e+02 4.915631e+02 2.085941e+03 3.189932e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
10 11     8000  8000000 3.555218e-04 2.250214e+10 3.486400e-06 5.996370e+02 4.916164e+02 2.143014e+03 3.277211e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
10 11     8000  8000000 3.615630e-04 2.212616e+10 3.504320e-06 5.896179e+02 5.237003e+02 2.107207e+03 3.222454e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
10 11     8000  8000000 4.084843e-04 1.958460e+10 3.289520e-06 5.218903e+02 4.917843e+02 1.865158e+03 2.852301e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
10 11     8000  8000000 5.587961e-04 1.431649e+10 3.263840e-06 3.815059e+02 4.840116e+02 1.363445e+03 2.085054e+03 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
10 11     8000  8000000 4.982737e-04 1.605543e+10 3.737600e-06 4.278452e+02 5.758372e+02 1.529055e+03 2.338313e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
11 12     6010  7999310 4.950226e-04 1.615948e+10 3.211760e-06 4.263870e+02 5.475003e+02 1.640473e+03 2.544918e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
11 12     6010  7999310 3.523717e-04 2.270134e+10 3.220240e-06 5.990017e+02 5.089164e+02 2.304587e+03 3.575180e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
11 12     6010  7999310 3.755934e-04 2.129779e+10 3.297360e-06 5.619673e+02 4.807937e+02 2.162102e+03 3.354139e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
11 12     6010  7999310 5.581643e-04 1.433146e+10 3.184480e-06 3.781525e+02 5.484418e+02 1.454896e+03 2.257027e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
11 12     6010  7999310 1.664934e-03 4.804581e+09 3.478800e-06 1.267745e+02 5.328423e+02 4.877498e+02 7.566619e+02 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
11 12     6010  7999310 3.594213e-04 2.225608e+10 3.503600e-06 5.872528e+02 5.725694e+02 2.259385e+03 3.505057e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
12 13     4629  7998912 4.476089e-04 1.787031e+10 3.243360e-06 4.676892e+02 4.789002e+02 1.903126e+03 3.026536e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
12 13     4629  7998912 3.591009e-04 2.227483e+10 3.549760e-06 5.829613e+02 4.984226e+02 2.372192e+03 3.772490e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
12 13     4629  7998912 4.343443e-04 1.841606e+10 3.240560e-06 4.819723e+02 5.014611e+02 1.961247e+03 3.118965e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
12 13     4629  7998912 5.732413e-04 1.395383e+10 3.501840e-06 3.651898e+02 5.445333e+02 1.486034e+03 2.363236e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
12 13     4629  7998912 2.505063e-03 3.193098e+09 3.274480e-06 8.356752e+01 5.235634e+02 3.400539e+02 5.407867e+02 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
12 13     4629  7998912 4.261570e-04 1.876987e+10 3.515440e-06 4.912318e+02 5.769591e+02 1.998926e+03 3.178886e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
